qlab_cue_number,projector,clip_part,clip_id,source,osc_file,osc_list_name,pixera_catalog_name,alias_note,suggested_filename
KI_RZ21.SCH4_Thomas,rz21,SCH4_Thomas,sch4_thomas,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.SCH4_Thomas,SCH4_Thomas,,SCH4_Thomas.mp4
KI_RZ21.SCH5_SchafSolo_Mavie,rz21,SCH5_SchafSolo_Mavie,sch5_schafsolo_mavie,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.SCH5_SchafSolo_Mavie,SCH5_SchafSolo_Mavie,,SCH5_SchafSolo_Mavie.mp4
KI_RZ21.SCH6_Schafherde,rz21,SCH6_Schafherde,sch6_schafherde,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.SCH6_Schafherde,SCH6_Schafherde,,SCH6_Schafherde.mp4
KI_RZ21.SCH7_Schaf_Single_Sebastian,rz21,SCH7_Schaf_Single_Sebastian,sch7_schaf_single_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.SCH7_Schaf_Single_Sebastian,SCH7_Schaf_Single_Sebastian,,SCH7_Schaf_Single_Sebastian.mp4
KI_RZ21.SCH8_Viele_Schafe_Caro,rz21,SCH8_Viele_Schafe_Caro,sch8_viele_schafe_caro,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.SCH8_Viele_Schafe_Caro,SCH8_Viele_Schafe_Caro,,SCH8_Viele_Schafe_Caro.mp4
KI_RZ21.Sebastian,rz21,Sebastian,sebastian,database+atmosphere,OSCBefehlliste.txt,KI_RZ21.Sebastian,Sebastian,,Sebastian.mp4
KI_RZ21.SebastianBlurry,rz21,SebastianBlurry,sebastianblurry,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.SebastianBlurry,SebastianBlurry,,SebastianBlurry.mp4
KI_RZ21.SturmFischskellet,rz21,SturmFischskellet,sturmfischskellet,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.SturmFischskellet,SturmFischskellet,,SturmFischskellet.mp4
KI_RZ21.Thiemo,rz21,Thiemo,thiemo,database+atmosphere,OSCBefehlliste.txt,KI_RZ21.Thiemo,Thiemo,,Thiemo.mp4
KI_RZ21.Thomas,rz21,Thomas,thomas,database+atmosphere,OSCBefehlliste.txt,KI_RZ21.Thomas,Thomas,,Thomas.mp4
KI_RZ21.WO1_Kaenguru,rz21,WO1_Kaenguru,wo1_kaenguru,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO1_Kaenguru,WO1_Kaenguru,,WO1_Kaenguru.mp4
KI_RZ21.WO2_Branko,rz21,WO2_Branko,wo2_branko,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO2_Branko,WO2_Branko,,WO2_Branko.mp4
KI_RZ21.WO3_Seb_Musik,rz21,WO3_Seb_Musik,wo3_seb_musik,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO3_Seb_Musik,WO3_Seb_Musik,,WO3_Seb_Musik.mp4
KI_RZ21.WO4_Nicolas,rz21,WO4_Nicolas,wo4_nicolas,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO4_Nicolas,WO4_Nicolas,,WO4_Nicolas.mp4
KI_RZ21.WO4_Schimpanse,rz21,WO4_Schimpanse,wo4_schimpanse,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO4_Schimpanse,WO4_Schimpanse,,WO4_Schimpanse.mp4
KI_RZ21.WO5_Thiemo,rz21,WO5_Thiemo,wo5_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO5_Thiemo,WO5_Thiemo,,WO5_Thiemo.mp4
KI_RZ21.WO6_Mavie,rz21,WO6_Mavie,wo6_mavie,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO6_Mavie,WO6_Mavie,,WO6_Mavie.mp4
KI_RZ21.WO6_Schimpanse,rz21,WO6_Schimpanse,wo6_schimpanse,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO6_Schimpanse,WO6_Schimpanse,,WO6_Schimpanse.mp4
KI_RZ21.WO7_Sebastian,rz21,WO7_Sebastian,wo7_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.WO7_Sebastian,WO7_Sebastian,,WO7_Sebastian.mp4
KI_RZ21.Wasserfahrt,rz21,Wasserfahrt,wasserfahrt,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.Wasserfahrt,Wasserfahrt,,Wasserfahrt.mp4
